Vertices: 265214
Edges: 420045
Elapsed time for processing: 16.67007088661194 secs.
Number of superbubbles found: 13285.
<10000,10001>
<100843,100844>
<100847,100848>
<100853,100854>
<100857,100858>
<10086,10087>
<100860,100861>
<100864,100865>
<100877,100878>
<10088,10089>
<100881,100882>
<100883,100884>
<100891,100892>
<10090,10091>
<100917,100918>
<10092,10093>
<100927,100928>
<100932,100933>
<10094,10095>
<100950,100951>
<100959,100960>
<10096,10097>
<10098,10099>
<100990,100991>
<100992,100993>
<100996,100997>
<10100,10101>
<101005,101006>
<101010,101011>
<10102,10103>
<101039,101040>
<10104,10105>
<101043,101044>
<101054,101055>
<101068,101069>
<10107,10108>
<101071,101072>
<10109,10110>
<101103,101104>
<101107,101108>
<10111,10112>
<101120,101121>
<10113,10114>
<101141,101142>
<10115,10116>
<101159,101160>
<10117,10118>
<101179,101180>
<10119,10120>
<101192,101193>
<101194,101195>
<101199,101200>
<101201,101202>
<10121,10122>
<101211,101212>
<101213,101214>
<101223,101224>
<10123,10124>
<101231,101232>
<101235,101236>
<10125,10126>
<101261,101262>
<10127,10128>
<101281,101282>
<101283,101284>
<101289,101290>
<10129,10130>
<101293,101294>
<10131,10132>
<10133,10134>
<10135,10136>
<101352,101353>
<101366,101367>
<10137,10138>
<101375,101376>
<10139,10140>
<101392,101393>
<101403,101404>
<101409,101410>
<10141,10142>
<101428,101429>
<10143,10144>
<101431,101432>
<101442,101443>
<101449,101450>
<101453,101454>
<101455,101456>
<10146,10147>
<101462,101463>
<101477,101478>
<10148,10149>
<101483,101484>
<10150,10151>
<101509,101510>
<10152,10153>
<101524,101525>
<101529,101530>
<101537,101538>
<10154,10155>
<101554,101555>
<10156,10157>
<10158,10159>
<101584,101585>
<10160,10161>
<10162,10163>
<101627,101628>
<101631,101632>
<10164,10165>
<101644,101645>
<10166,10167>
<101672,101673>
<101676,101677>
<10168,10169>
<101688,197740>
<10170,10171>
<101710,101711>
<101717,101718>
<10172,10173>
<101725,101726>
<101733,101734>
<101736,101737>
<10174,10175>
<101742,101743>
<101749,101750>
<101755,101756>
<10176,10177>
<101773,101774>
<10178,10179>
<101780,101781>
<101786,101787>
<10180,10181>
<10182,10183>
<101822,101823>
<10184,10185>
<101857,101858>
<10187,10188>
<101875,101876>
<10189,10190>
<101908,101909>
<10191,10192>
<101910,101911>
<101920,101921>
<10193,10194>
<101931,101932>
<10195,10196>
<10197,10198>
<10199,10200>
<102011,102012>
<10202,10203>
<102038,102039>
<10204,10205>
<102041,102042>
<10206,10207>
<10208,10209>
<10210,10211>
<102109,102110>
<10212,10213>
<102139,102140>
<10214,10215>
<10217,10218>
<102179,102180>
<10219,10220>
<10221,10222>
<102211,102212>
<102217,102218>
<102224,102225>
<10223,10224>
<102230,102231>
<102233,102234>
<102238,102239>
<102246,102247>
<10225,10226>
<102277,102278>
<10228,10229>
<102289,102290>
<102298,102299>
<10230,10231>
<10232,10233>
<102328,102329>
<102334,102335>
<10234,10235>
<102342,102343>
<102348,102349>
<102352,102353>
<10236,10237>
<102363,102364>
<102365,102366>
<102378,102379>
<10238,10239>
<102382,102383>
<102385,102386>
<102398,102399>
<10240,10241>
<10242,10243>
<102425,102426>
<102436,102437>
<10244,10245>
<10246,10247>
<102462,102463>
<10248,10249>
<10250,10251>
<10252,10253>
<102534,102535>
<10254,10255>
<10256,10257>
<102563,102564>
<10258,10259>
<10260,10261>
<10262,10263>
<10264,10265>
<102649,102650>
<10266,10267>
<10268,10269>
<10270,10271>
<10272,10273>
<102734,102735>
<10274,10275>
<10276,10277>
<102775,102776>
<10278,10279>
<10280,10281>
<102812,102813>
<102818,102819>
<10282,10283>
<10284,10285>
<102859,102860>
<10286,10287>
<102867,102868>
<102870,102871>
<102878,102879>
<10288,10289>
<102886,102887>
<102889,102890>
<102896,102897>
<102898,102899>
<10290,10291>
<102918,102919>
<10292,10293>
<102935,102936>
<10294,10295>
<102947,102948>
<102951,102952>
<102956,102957>
<102959,102960>
<10296,10297>
<102965,102966>
<102971,102972>
<10298,10299>
<102983,102984>
<102990,102991>
<102998,102999>
<10300,10301>
<103012,103013>
<10302,10303>
<103037,103038>
<10304,10305>
<103049,103050>
<103056,103057>
<10306,10307>
<103062,103063>
<103078,103079>
<10308,10309>
<10310,10311>
<103115,103116>
<10312,10313>
<10314,10315>
<10316,10317>
<103186,103187>
<10319,10320>
<103196,103197>
<103209,103210>
<10321,10322>
<103214,103215>
<103224,103225>
<10323,10324>
<103234,103235>
<10325,10326>
<10327,10328>
<10329,10330>
<10331,10332>
<103313,103314>
<103328,103329>
<10333,10334>
<103330,103331>
<10335,10336>
<103351,103352>
<103363,103364>
<10337,10338>
<103375,103376>
<10339,10340>
<103391,103392>
<10341,10342>
<103416,103417>
<103428,103429>
<10343,10344>
<103435,103436>
<103445,103446>
<10345,10346>
<103452,103453>
<10347,10348>
<10349,10350>
<103507,103508>
<10351,10352>
<103515,103516>
<103517,103518>
<103519,103520>
<10353,10354>
<103541,103542>
<10355,10356>
<103562,103563>
<10357,10358>
<103587,103588>
<10359,10360>
<103593,103594>
<103597,103598>
<10361,10362>
<103627,103628>
<103637,103638>
<10364,10365>
<103640,103641>
<103645,103646>
<103649,103650>
<103652,103653>
<103654,103655>
<10366,10367>
<103660,103661>
<103667,103668>
<10368,10369>
<103690,103691>
<103693,103694>
<103695,103696>
<103699,103700>
<10370,10371>
<10372,10373>
<10374,10375>
<103741,103742>
<103751,103752>
<10376,10377>
<10378,10379>
<10380,10381>
<10382,10383>
<10384,10385>
<10386,10387>
<10388,10389>
<10390,10391>
<10393,10394>
<103940,103941>
<10395,10396>
<103973,103974>
<103977,103978>
<10398,10399>
<103994,103995>
<10400,10401>
<104003,104004>
<10402,10403>
<104031,104032>
<10404,10405>
<104041,104042>
<104048,104049>
<104055,104056>
<104065,104066>
<10407,10408>
<104076,104077>
<104083,104084>
<10409,10410>
<104093,104094>
<10411,10412>
<104120,104121>
<104127,104128>
<10413,10414>
<104139,104140>
<10415,10416>
<104155,104156>
<104158,104159>
<104163,104164>
<104165,104166>
<10417,10418>
<104171,104172>
<104178,104179>
<104181,104182>
<104189,104190>
<10419,10420>
<104193,104194>
<104196,104197>
<10421,10422>
<10423,10424>
<104233,104234>
<104237,104238>
<10425,10426>
<10427,10428>
<104271,104272>
<10429,10430>
<104293,104294>
<104302,104303>
<10431,10432>
<104315,104316>
<104319,104320>
<104328,104329>
<10433,10434>
<10435,10436>
<10437,10438>
<104382,104383>
<10439,10440>
<104399,104400>
<10441,10442>
<10443,10444>
<104434,104435>
<10445,10446>
<104466,104467>
<10447,10448>
<10449,10450>
<10451,10452>
<104515,104516>
<10453,10454>
<104545,104546>
<10456,10457>
<10458,10459>
<104594,104595>
<10460,10461>
<104606,104607>
<104611,104612>
<10463,10464>
<10465,10466>
<104668,104669>
<10467,10468>
<104677,104678>
<10469,10470>
<104695,104696>
<10471,10472>
<104714,104715>
<104728,104729>
<10473,10474>
<104733,104734>
<10475,10476>
<104753,104754>
<104755,104756>
<10477,10478>
<104773,104774>
<104775,104776>
<104788,104789>
<10479,10480>
<104791,104792>
<104793,104794>
<104806,104807>
<10481,10482>
<104827,104828>
<10483,10484>
<104848,104849>
<10485,10486>
<104851,104852>
<104865,104866>
<104867,104868>
<10487,10488>
<104879,104880>
<10489,10490>
<104900,104901>
<104906,104907>
<10491,10492>
<104910,104911>
<10493,10494>
<104933,104934>
<104937,104938>
<104942,104943>
<10495,10496>
<104954,104955>
<104964,104965>
<10497,10498>
<104982,104983>
<104992,104993>
<10500,10501>
<105009,105010>
<105018,105019>
<10502,10503>
<105025,105026>
<105029,105030>
<105032,105033>
<10504,10505>
<105047,105048>
<105053,105054>
<105055,105056>
<10506,10507>
<105076,105077>
<105078,105079>
<10508,10509>
<105081,105082>
<105086,105087>
<105088,105089>
<105090,105091>
<105094,105095>
<105098,105099>
<10510,10511>
<105100,105101>
<105113,105114>
<105115,105116>
<10512,10513>
<105123,105124>
<105129,105130>
<10514,10515>
<105143,105144>
<105151,105152>
<105154,105155>
<105159,105160>
<105161,105162>
<105168,105169>
<10517,10518>
<105176,105177>
<105183,105184>
<105185,105186>
<10519,10520>
<105196,105197>
<105199,105200>
<10521,10522>
<105223,105224>
<105226,105227>
<105228,105229>
<10523,10524>
<105237,105238>
<105246,105247>
<10526,10527>
<105261,105262>
<105274,105275>
<105279,105280>
<10528,10529>
<105288,105289>
<105299,105300>
<10530,10531>
<105302,105303>
<105307,105308>
<105309,105310>
<10532,10533>
<10534,10535>
<105342,105343>
<105349,105350>
<105353,105354>
<10536,10537>
<105361,105362>
<105370,105371>
<105373,105374>
<10538,10539>
<10540,10541>
<105407,105408>
<105418,105419>
<10542,10543>
<105421,105422>
<105424,105425>
<105439,105440>
<10544,10545>
<105454,105455>
<105458,105459>
<10546,10547>
<105474,105475>
<105482,105483>
<10549,10550>
<105507,105508>
<10551,10552>
<10553,10554>
<105537,105538>
<10555,10556>
<105554,105555>
<10557,10558>
<10560,10561>
<10562,10563>
<10564,10565>
<10566,10567>
<10568,10569>
<105696,105697>
<10570,10571>
<10572,10573>
<105724,105725>
<10574,10575>
<105756,105757>
<10576,10577>
<105778,105779>
<10578,10579>
<10580,10581>
<10582,10583>
<105832,105833>
<105837,105838>
<10584,10585>
<105847,105848>
<105850,105851>
<105859,105860>
<10586,10587>
<10588,10589>
<10590,10591>
<105918,105919>
<10592,10593>
<105920,105921>
<105935,105936>
<105937,105938>
<10594,10595>
<10596,10597>
<105968,105969>
<105975,105976>
<10598,10599>
<105986,105987>
<105988,105989>
<105993,105994>
<105997,105998>
<10600,10601>
<106006,106007>
<106009,106010>
<10602,10603>
<106033,106034>
<106036,106037>
<10604,10605>
<106045,106046>
<106047,106048>
<106053,106054>
<10606,10607>
<106060,106061>
<106078,106079>
<10608,10609>
<10610,10611>
<106118,106119>
<10612,10613>
<106122,106123>
<10614,10615>
<106162,106163>
<10617,10618>
<10619,10620>
<10621,10622>
<10623,10624>
<106240,106241>
<10625,10626>
<106262,106263>
<10627,10628>
<106277,106278>
<106284,106285>
<10629,10630>
<10631,10632>
<10633,10634>
<106342,106343>
<106344,106345>
<10635,10636>
<106350,106351>
<10637,10638>
<106372,106373>
<106394,106395>
<106397,106398>
<10640,10641>
<10642,10643>
<106427,106428>
<106446,106447>
<10645,10646>
<10647,10648>
<10649,10650>
<106506,106507>
<10651,10652>
<106512,106513>
<106523,106524>
<106528,106529>
<10653,10654>
<106532,106533>
<10655,10656>
<106550,106551>
<106558,106559>
<106562,106563>
<106564,106565>
<106576,106577>
<106580,106581>
<106583,106584>
<106589,106590>
<10659,10660>
<106591,106592>
<106599,106600>
<106614,106615>
<10662,10663>
<106625,106626>
<10664,10665>
<106640,106641>
<106646,106647>
<106658,106659>
<10666,10667>
<106662,106663>
<106666,106667>
<106668,106669>
<106672,106673>
<106676,106677>
<106678,106679>
<10668,10669>
<106681,106682>
<10670,10671>
<106704,106705>
<106710,106711>
<106719,106720>
<10672,10673>
<106727,106728>
<106733,106734>
<106736,106737>
<106739,106740>
<10674,10675>
<106744,106745>
<106756,106757>
<10676,10677>
<106770,106771>
<10678,10679>
<10680,10681>
<106806,106807>
<10682,10683>
<106836,106837>
<10684,10685>
<106852,106853>
<10687,10688>
<106877,106878>
<106881,106882>
<10689,10690>
<10691,10692>
<10693,10694>
<10695,10696>
<10697,10698>
<106979,106980>
<10699,10700>
<10701,10702>
<107012,107013>
<10703,10704>
<107036,107037>
<10705,10706>
<10707,10708>
<107085,107086>
<10709,10710>
<10711,10712>
<10713,10714>
<107145,107146>
<10715,10716>
<107164,107165>
<10717,10718>
<10719,10720>
<107192,107193>
<107200,107201>
<10721,10722>
<10723,10724>
<10725,10726>
<107255,107256>
<10727,10728>
<107274,107275>
<107277,107278>
<107285,107286>
<10729,10730>
<107296,107297>
<10731,10732>
<107312,107313>
<107316,107317>
<107318,107319>
<107322,107323>
<10733,10734>
<107333,107334>
<107338,107339>
<10735,10736>
<107367,107368>
<10737,10738>
<107372,107373>
<10739,10740>
<10741,10742>
<10743,10744>
<107449,107450>
<10745,10746>
<107470,107471>
<10748,10749>
<107499,107500>
<10750,10751>
<107505,107506>
<10752,10753>
<107535,107536>
<10754,10755>
<107553,107554>
<10756,10757>
<107570,107571>
<10758,10759>
<107590,107591>
<10760,10761>
<10762,10763>
<107620,107621>
<107625,107626>
<10764,10765>
<107649,107650>
<10766,10767>
<107664,107665>
<107674,107675>
<10768,10769>
<10770,10771>
<10772,10773>
<107733,107734>
<107748,107749>
<10775,10776>
<10777,10778>
<10779,10780>
<107791,107792>
<107804,107805>
<10781,10782>
<107813,107814>
<107815,107816>
<107821,107822>
<10783,10784>
<107839,107840>
<107845,107846>
<10785,10786>
<107861,107862>
<107866,107867>
<107871,107872>
<107874,107875>
<107876,107877>
<10788,10789>
<10790,10791>
<10793,10794>
<107943,107944>
<10795,10796>
<107964,107965>
<10797,10798>
<10799,10800>
<108006,108007>
<10801,10802>
<10803,10804>
<10805,10806>
<108053,108054>
<108064,108065>
<10807,10808>
<108081,108082>
<10809,10810>
<108094,108095>
<10811,10812>
<10813,10814>
<10815,10816>
<108150,108151>
<10817,10818>
<108180,108181>
<10819,10820>
<108209,108210>
<10821,10822>
<108225,108226>
<10823,10824>
<108242,108243>
<10825,10826>
<108255,108256>
<10827,10828>
<108276,108277>
<10829,10830>
<108293,108294>
<108303,108304>
<10831,10832>
<108312,108313>
<10833,10834>
<108343,108344>
<108348,108349>
<10835,10836>
<108363,108364>
<108366,108367>
<10837,10838>
<108373,108374>
<108381,108382>
<10839,10840>
<108407,108408>
<10841,10842>
<108422,108423>
<108428,108429>
<10843,10844>
<10845,10846>
<108453,108454>
<108457,108458>
<108462,108463>
<108468,108469>
<10847,10848>
<108475,108476>
<10849,10850>
<108497,108498>
<108507,108508>
<10851,10852>
<108518,108519>
<10853,10854>
<108530,108531>
<108537,108538>
<108541,108542>
<108547,108548>
<10855,10856>
<108556,108557>
<10857,10858>
<108575,108576>
<108584,108585>
<108586,108587>
<108589,108590>
<10859,10860>
<108593,108594>
<108595,108596>
<10861,10862>
<108615,108616>
<108620,108621>
<108624,108625>
<108629,108630>
<10863,10864>
<108631,108632>
<108635,108636>
<108640,108641>
<108646,108647>
<10865,10866>
<108653,108654>
<108660,108661>
<108662,108663>
<10867,10868>
<108671,108672>
<108673,108674>
<10869,10870>
<108691,108692>
<108693,108694>
<108701,108702>
<108708,108709>
<10871,10872>
<108711,108712>
<108713,108714>
<108724,108725>
<10873,10874>
<108743,108744>
<108747,108748>
<10875,10876>
<108769,108770>
<10877,10878>
<108773,108774>
<108779,108780>
<10879,10880>
<108796,108797>
<108798,108799>
<108800,108801>
<108802,108803>
<108804,108805>
<108808,108809>
<10881,10882>
<108811,108812>
<108813,108814>
<108817,108818>
<108820,108821>
<108823,108824>
<108825,108826>
<10883,10884>
<108832,108833>
<108839,108840>
<108849,108850>
<10885,10886>
<108851,108852>
<108856,108857>
<108862,108863>
<108868,108869>
<10887,10888>
<108870,108871>
<108876,108877>
<108880,108881>
<108882,108883>
<108884,108885>
<108887,108888>
<10889,10890>
<108895,108896>
<108906,108907>
<108909,108910>
<10891,10892>
<108917,108918>
<108925,108926>
<10893,10894>
<108930,108931>
<108941,108942>
<108947,108948>
<10895,10896>
<10897,10898>
<108975,108976>
<108981,108982>
<108985,108986>
<10899,10900>
<109000,109001>
<109002,109003>
<10901,10902>
<109017,109018>
<109022,109023>
<109025,109026>
<10903,10904>
<109037,109038>
<109039,109040>
<109044,109045>
<109047,109048>
<10905,10906>
<109056,109057>
<109066,109067>
<10907,10908>
<109072,109073>
<109082,109083>
<10909,10910>
<109095,109096>
<109109,109110>
<10911,10912>
<109111,109112>
<109114,109115>
<109117,109118>
<10913,10914>
<109134,109135>
<109144,109145>
<109149,109150>
<10915,10916>
<109152,109153>
<109167,109168>
<109169,109170>
<10917,10918>
<109180,109181>
<109182,109183>
<109188,109189>
<10919,10920>
<109191,109192>
<109196,109197>
<109206,109207>
<109208,109209>
<10921,10922>
<109213,109214>
<109216,109217>
<109222,109223>
<109225,109226>
<10923,10924>
<109231,109232>
<109246,109247>
<10925,10926>
<10927,10928>
<10929,10930>
<10931,10932>
<10933,10934>
<109331,109332>
<109337,109338>
<109340,109341>
<109345,109346>
<10935,10936>
<10937,10938>
<10939,10940>
<109407,109408>
<10941,10942>
<10943,10944>
<109431,109432>
<10945,10946>
<109457,109458>
<109464,109465>
<10947,10948>
<109472,109473>
<109487,109488>
<10949,10950>
<10951,10952>
<109529,109530>
<10953,10954>
<109535,109536>
<10955,10956>
<109556,109557>
<10957,10958>
<10959,10960>
<109597,109598>
<10961,10962>
<10963,10964>
<10965,10966>
<109669,109670>
<10967,10968>
<109677,109678>
<10969,10970>
<109697,109698>
<109702,109703>
<10971,10972>
<10973,10974>
<109734,109735>
<109744,109745>
<10975,10976>
<109755,109756>
<109757,109758>
<109760,109761>
<109762,109763>
<10977,10978>
<109778,109779>
<109780,109781>
<109788,109789>
<10979,10980>
<109796,109797>
<109803,109804>
<10981,10982>
<109812,109813>
<109817,109818>
<109822,109823>
<109824,109825>
<10983,10984>
<10985,10986>
<10987,10988>
<10989,10990>
<10991,10992>
<10993,10994>
<10995,10996>
<10997,10998>
<10999,11000>
<11001,11002>
<110014,110015>
<11003,11004>
<11005,11006>
<110052,110053>
<110064,110065>
<11007,11008>
<11009,11010>
<110096,110097>
<11011,11012>
<11013,11014>
<110145,110146>
<11016,11017>
<11018,11019>
<11020,11021>
<110215,110216>
<11022,11023>
<110224,110225>
<110239,110240>
<11024,11025>
<11026,11027>
<110274,110275>
<110277,110278>
<11028,11029>
<110280,110281>
<11030,11031>
<110303,110304>
<110308,110309>
<110310,110311>
<11032,11033>
<11034,11035>
<11036,11037>
<110367,110368>
<11038,11039>
<110384,110385>
<110392,110393>
<11040,11041>
<110400,110401>
<110418,110419>
<11042,11043>
<110421,110422>
<110424,110425>
<110429,110430>
<110439,110440>
<11044,11045>
<110443,110444>
<110452,110453>
<11046,11047>
<110460,110461>
<110463,110464>
<110470,110471>
<110474,110475>
<11048,11049>
<110480,110481>
<110497,110498>
<110499,110500>
<11050,11051>
<11052,11053>
<11055,11056>
<110562,110563>
<11057,11058>
<11059,11060>
<11061,11062>
<11063,11064>
<11065,11066>
<11067,11068>
<110679,110680>
<11069,11070>
<11071,11072>
<110726,110727>
<11073,11074>
<11075,11076>
<11077,11078>
<11079,11080>
<110799,110800>
<11081,11082>
<11083,11084>
<110835,110836>
<11085,11086>
<110855,110856>
<110868,110869>
<11087,11088>
<110873,110874>
<110877,110878>
<110886,110887>
<11089,11090>
<11091,11092>
<110912,110913>
<110917,110918>
<110927,110928>
<11093,11094>
<11095,11096>
<110952,110953>
<110955,110956>
<11097,11098>
<110986,110987>
<110988,110989>
<11099,11100>
<110991,110992>
<110997,110998>
<11101,11102>
<111011,111012>
<111016,111017>
<111021,111022>
<111024,111025>
<111026,111027>
<11103,11104>
<111034,111035>
<111039,111040>
<11105,11106>
<11107,11108>
<111077,111078>
<111080,111081>
<11109,11110>
<11111,11112>
<11113,11114>
<11115,11116>
<11117,11118>
<111179,111180>
<11119,11120>
<111196,111197>
<111204,111205>
<11121,11122>
<111227,111228>
<11123,11124>
<11125,11126>
<11127,11128>
<111285,111286>
<11129,11130>
<111303,111304>
<111308,111309>
<11131,11132>
<11133,11134>
<111341,111342>
<11135,11136>
<11137,11138>
<11139,11140>
<11141,11142>
<111416,111417>
<11143,11144>
<11145,11146>
<111465,111466>
<111467,111468>
<111472,111473>
<111479,111480>
<11148,11149>
<111482,111483>
<111488,111489>
<11150,11151>
<111519,111520>
<11152,11153>
<111533,111534>
<11154,11155>
<111543,111544>
<111546,111547>
<111548,111549>
<111554,111555>
<111557,111558>
<11156,11157>
<111568,111569>
<11158,11159>
<111608,111609>
<11161,11162>
<111612,111613>
<111614,111615>
<111618,111619>
<11163,11164>
<111635,111636>
<111637,111638>
<111639,111640>
<111646,111647>
<11165,11166>
<111651,111652>
<111653,111654>
<111655,111656>
<111660,111661>
<111667,111668>
<11167,11168>
<111671,111672>
<111681,111682>
<11169,11170>
<11171,11172>
<111710,111711>
<111719,111720>
<111735,111736>
<111737,111738>
<11174,11175>
<111754,111755>
<111756,111757>
<11176,11177>
<111762,111763>
<111769,111770>
<111776,111777>
<11178,11179>
<111785,111786>
<111795,111796>
<111798,111799>
<11180,11181>
<111801,111802>
<111815,111816>
<11182,11183>
<111822,111823>
<111826,111827>
<111832,111833>
<111835,111836>
<111837,111838>
<11184,11185>
<111841,111842>
<111843,111844>
<111851,111852>
<111856,111857>
<111858,111859>
<11186,11187>
<111862,111863>
<111864,111865>
<111869,111870>
<111872,111873>
<11188,11189>
<111883,111884>
<111897,111898>
<11190,11191>
<111913,111914>
<111916,111917>
<11192,11193>
<111927,111928>
<111931,111932>
<11194,11195>
<11196,11197>
<111961,111962>
<11198,11199>
<111985,111986>
<111988,111989>
<11200,11201>
<11202,11203>
<112027,112028>
<112030,112031>
<11204,11205>
<112042,112043>
<112045,112046>
<112048,112049>
<11206,11207>
<112076,112077>
<11208,11209>
<112085,112086>
<11210,11211>
<112105,112106>
<112109,112110>
<112112,112113>
<112114,112115>
<11212,11213>
<112124,112125>
<112127,112128>
<112132,112133>
<112137,112138>
<11214,11215>
<112140,112141>
<112154,112155>
<11216,11217>
<112165,112166>
<112171,112172>
<112175,112176>
<112178,112179>
<11218,11219>
<112180,112181>
<11220,11221>
<112204,112205>
<11222,11223>
<112236,112237>
<11224,11225>
<112249,112250>
<11226,11227>
<112269,112270>
<11228,11229>
<112289,112290>
<11230,11231>
<112304,112305>
<11232,11233>
<112336,112337>
<11234,11235>
<112341,112342>
<112348,112349>
<11236,11237>
<112370,112371>
<11238,11239>
<112386,112387>
<11240,11241>
<11242,11243>
<11244,11245>
<112444,112445>
<112451,112452>
<11246,11247>
<112461,112462>
<11248,11249>
<11250,11251>
<112519,112520>
<11252,11253>
<11254,11255>
<11256,11257>
<112578,112579>
<11258,11259>
<112582,112583>
<112594,112595>
<11260,11261>
<112615,112616>
<11262,11263>
<112621,112622>
<11264,11265>
<112644,112645>
<112646,112647>
<11266,11267>
<112675,112676>
<11268,11269>
<112684,112685>
<112689,112690>
<11270,11271>
<112714,112715>
<11272,11273>
<11274,11275>
<112746,112747>
<112751,112752>
<112753,112754>
<112759,112760>
<11276,11277>
<112764,112765>
<112774,112775>
<11278,11279>
<112796,112797>
<11280,11281>
<112803,112804>
<11282,11283>
<11284,11285>
<11286,11287>
<11288,11289>
<112880,112881>
<11290,11291>
<11292,11293>
<11294,11295>
<112940,112941>
<11296,11297>
<11298,11299>
<11300,11301>
<113000,113001>
<11302,11303>
<11304,11305>
<113045,113046>
<11306,11307>
<11308,11309>
<113084,113085>
<113090,113091>
<11310,11311>
<11312,11313>
<113134,113135>
<11314,11315>
<113141,113142>
<113143,113144>
<11316,11317>
<113164,113165>
<11318,11319>
<113192,113193>
<113195,113196>
<113199,113200>
<11320,11321>
<11322,11323>
<113235,113236>
<11324,11325>
<113251,113252>
<113255,113256>
<11326,11327>
<113265,113266>
<113278,113279>
<11328,11329>
<113284,113285>
<113286,113287>
<11330,11331>
<113314,113315>
<11332,11333>
<113332,113333>
<11334,11335>
<11336,11337>
<11338,11339>
<11340,11341>
<113418,113419>
<11342,11343>
<113439,113440>
<11344,11345>
<113464,113465>
<11347,11348>
<113486,113487>
<11349,11350>
<113502,113503>
<11351,11352>
<113518,113519>
<11353,11354>
<11355,11356>
<11357,11358>
<113578,113579>
<11359,11360>
<113592,113593>
<11361,11362>
<113612,113613>
<113619,113620>
<11363,11364>
<11365,11366>
<11367,11368>
<113685,113686>
<11369,11370>
<11371,11372>
<113716,113717>
<11373,11374>
<113740,113741>
<113748,113749>
<11375,11376>
<113753,113754>
<113766,113767>
<11377,11378>
<113770,113771>
<113775,113776>
<113784,113785>
<11379,11380>
<113796,113797>
<113800,113801>
<11381,11382>
<113813,113814>
<113825,113826>
<113829,113830>
<11383,11384>
<113838,113839>
<113846,113847>
<11385,11386>
<113859,113860>
<11387,11388>
<11389,11390>
<11391,11392>
<113917,113918>
<11393,11394>
<11395,11396>
<113964,113965>
<11397,11398>
<11399,11400>
<11401,11402>
<11403,11404>
<11405,11406>
<11407,11408>
<11409,11410>
<11411,11412>
<114116,114117>
<11413,11414>
<11415,11416>
<11417,11418>
<114180,114181>
<114189,114190>
<11419,11420>
<114209,114210>
<11421,11422>
<114214,114215>
<114223,114224>
<11423,11424>
<114230,114231>
<114233,114234>
<114249,114250>
<11425,11426>
<11427,11428>
<114283,114284>
<114285,114286>
<11429,11430>
<114298,114299>
<114303,114304>
<114306,114307>
<11431,11432>
<114322,114323>
<114325,114326>
<11433,11434>
<11435,11436>
<11437,11438>
<114375,114376>
<11439,11440>
<114390,114391>
<11441,11442>
<114416,114417>
<114429,114430>
<11443,11444>
<11445,11446>
<11447,11448>
<114486,114487>
<11449,11450>
<114505,114506>
<11451,11452>
<114510,114511>
<11453,11454>
<11455,11456>
<114557,114558>
<11457,11458>
<114578,114579>
<11459,11460>
<11461,11462>
<11464,11465>
<11466,11467>
<11468,11469>
<114692,114693>
<11470,11471>
<114716,114717>
<11472,11473>
<114720,114721>
<11474,11475>
